@relation wine-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6
8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,7
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,7
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,6
7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6
7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,6
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5
6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6
6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,5
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6
5.7,0.41,0.21,1.9,0.048,30,112,0.99138,3.29,0.55,11.2,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6
7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5
5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8
7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,6
6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.533333,5
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.433333,6
6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5
7.1,0.38,0.42,11.8,0.041,32,193,0.99624,3.04,0.49,10,6
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,6
5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,8
9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4
6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,7
6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7
5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5
7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,6
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5
5.9,0.22,0.3,1.3,0.052,42,86,0.99069,3.31,0.47,11.55,6
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
7.2,0.21,0.31,10.5,0.035,36,122,0.99478,3.12,0.4,10.6,6
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,6
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6
6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
6,0.21,0.38,0.8,0.02,22,98,0.98941,3.26,0.32,11.8,6
8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7
7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7
6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5
6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7
6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,7
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3,7
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6
8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,5
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6
5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5
6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5
7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5
6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,6
5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6
7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6
5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5
5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7
5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5
6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8
6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,7
4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,8
6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8
6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4
6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5
7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.893333,7
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7
6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,6
6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,6
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5
6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8,8
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6
6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,7
7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,6
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6
6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,7
6,0.34,0.24,5.4,0.06,23,126,0.9951,3.25,0.44,9,7
6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4
8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6
5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,7
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,6
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,7
